model,cv_log_loss,train_log_loss,val_log_loss,test_log_loss,val_brier,test_brier,val_auc,test_auc,val_f1,test_f1,val_accuracy,test_accuracy,overfit_gap_logloss,val_rolling_logloss_std
LogisticRegression,0.6903310795239648,0.6707685356020782,0.6966265883546103,0.6960996950971965,0.25170366122708027,0.2513797759013267,0.5193336143545313,0.5311425461959517,0.5416666666666666,0.4929496402877698,0.5067264573991032,0.5140650854936569,-0.025858052752532168,0.007001173133345534
RandomForest,0.6855318462968116,0.6081000642732184,0.6983168643363421,0.6878434696218758,0.252555595592345,0.2473770437152648,0.5126142108660566,0.5418476696912923,0.5918819188191882,0.6393690579083837,0.5040358744394619,0.5397131825703254,-0.09021680006312371,0.00593986809241581
XGBoost,0.7058892142097886,0.5376696812161413,0.7220843176229982,0.6980080401100006,0.26308677326530516,0.2520607440174148,0.5024433597043731,0.5423770557045419,0.5036505700012809,0.554302203567681,0.5035233824471492,0.5314396028681743,-0.18441463640685685,0.01386398190450978
LightGBM,0.7195147205966357,0.478409913586845,0.7322686149882282,0.7051370570571994,0.26699208931739127,0.25526193613669035,0.5066517112915974,0.5348027105298605,0.5067489394523718,0.542457805907173,0.5083920563741191,0.5215113072255929,-0.25385870140138317,0.024575455163687157
